Date,Sensor Log,Tempature (°C),Tempature (°F),Heat Index (°C),Heat Index (°F),Humidity (%),Air Quality (ppm),Light Intensity (lux),Pressure (hPa),Fire Status,Activity Status
"Saturday,09-December-2023||17:04:34",1,32.1,89.78,41.04,105.87,70.9,3.24,101.02,1006.83,0,0
"Saturday,09-December-2023||17:04:39",2,32.1,89.78,40.97,105.74,70.7,2.96,101.45,1006.83,0,0
"Saturday,09-December-2023||17:04:45",3,32.1,89.78,41.12,106.01,71.1,3.28,102.15,1006.82,0,0
"Saturday,09-December-2023||17:04:51",4,32.2,89.96,41.27,106.28,70.7,2.96,101.05,1006.82,0,0
"Saturday,09-December-2023||17:04:57",5,32,89.6,40.81,105.47,71.1,3.01,101.02,1006.83,0,0
"Saturday,09-December-2023||17:05:02",6,32.1,89.78,40.93,105.67,70.6,2.71,101.4,1006.82,0,0
"Saturday,09-December-2023||17:05:09",7,32.1,89.78,40.82,105.47,70.3,2.73,102.17,1006.83,0,0
"Saturday,09-December-2023||17:05:15",8,32,89.6,40.52,104.93,70.3,2.94,101.18,1006.83,0,0
"Saturday,09-December-2023||17:05:21",9,32,89.6,40.78,105.4,71,2.82,101.02,1006.83,0,0
"Saturday,09-December-2023||17:05:32",0,32.1,89.78,40.89,105.6,70.5,2.92,102.56,1006.79,0,0
"Saturday,09-December-2023||17:05:38",1,32.1,89.78,40.78,105.4,70.2,3.22,101.82,1006.84,0,1
"Saturday,09-December-2023||17:05:44",2,32.1,89.78,40.78,105.4,70.2,3.24,102.1,1006.85,0,0
"Saturday,09-December-2023||17:05:50",3,32,89.6,40.56,105,70.4,2.94,101.78,1006.85,0,0
"Saturday,09-December-2023||17:05:55",4,32.1,89.78,40.85,105.54,70.4,2.94,102,1006.86,0,0
"Saturday,09-December-2023||17:06:02",5,32.1,89.78,40.89,105.6,70.5,3.26,101.82,1006.85,0,0
"Saturday,09-December-2023||17:06:07",6,32.1,89.78,40.78,105.4,70.2,3.05,101.8,1006.87,0,1
"Saturday,09-December-2023||17:06:15",7,32.1,89.78,40.97,105.74,70.7,2.92,102.15,1006.87,0,0
"Saturday,09-December-2023||17:06:20",8,32.1,89.78,40.89,105.6,70.5,2.98,101.8,1006.88,0,0
"Saturday,09-December-2023||17:06:27",9,32.1,89.78,40.89,105.6,70.5,2.84,102.24,1006.88,0,1
"Saturday,09-December-2023||17:06:32",10,32,89.6,40.59,105.07,70.5,3.03,101.02,1006.88,0,0
"Saturday,09-December-2023||17:06:38",11,32,89.6,40.67,105.2,70.7,3.15,101.18,1006.88,0,0
"Saturday,09-December-2023||17:06:44",12,32,89.6,40.63,105.13,70.6,3.05,101.97,1006.88,0,0
"Saturday,09-December-2023||17:06:49",13,32,89.6,40.67,105.2,70.7,3.03,101.02,1006.88,0,0
"Saturday,09-December-2023||17:06:55",14,32.1,89.78,40.89,105.6,70.5,3.28,101.05,1006.89,0,0
"Saturday,09-December-2023||17:07:01",15,32,89.6,40.67,105.2,70.7,2.99,101.95,1006.89,0,1
"Saturday,09-December-2023||17:07:07",16,32,89.6,40.63,105.13,70.6,2.7,101.15,1006.89,0,0
"Saturday,09-December-2023||17:07:12",17,32.1,89.78,40.97,105.74,70.7,2.99,101.02,1006.9,0,0
"Saturday,09-December-2023||17:07:18",18,32,89.6,40.56,105,70.4,2.98,101.02,1006.9,0,0
"Saturday,09-December-2023||17:07:24",19,32.1,89.78,41,105.81,70.8,2.71,102.1,1006.91,0,1
"Saturday,09-December-2023||17:07:29",20,32,89.6,40.67,105.2,70.7,3.05,101.35,1006.93,0,0
"Saturday,09-December-2023||17:07:35",21,32.1,89.78,41,105.81,70.8,2.99,101.73,1006.94,0,0
"Saturday,09-December-2023||17:07:40",22,32,89.6,40.7,105.27,70.8,2.84,101.85,1006.94,0,0
"Saturday,09-December-2023||17:07:46",23,32,89.6,40.74,105.33,70.9,2.75,101.15,1006.94,0,0
"Saturday,09-December-2023||17:07:51",24,32,89.6,40.7,105.27,70.8,2.96,101.8,1006.95,0,0
"Saturday,09-December-2023||17:07:58",25,32,89.6,40.7,105.27,70.8,2.79,101.25,1006.95,0,1
"Saturday,09-December-2023||17:08:03",26,32.1,89.78,41.08,105.94,71,2.99,101.05,1006.95,0,1
"Saturday,09-December-2023||17:08:08",27,32.1,89.78,41.08,105.94,71,2.94,101.3,1006.95,0,0
"Saturday,09-December-2023||17:08:14",28,32.1,89.78,41,105.81,70.8,2.75,102.24,1006.96,0,1
